16:30:03 | LOCK_ACQUIRED | sim=0.77
16:30:03 | MOVE_LEFT | nose_x=0.08
16:30:04 | LOCK_LOST | Target disappeared
16:30:05 | LOCK_ACQUIRED | sim=0.70
16:30:05 | MOVE_LEFT | nose_x=0.18
16:30:06 | MOVE_RIGHT | nose_x=0.61
16:30:07 | MOVE_LEFT | nose_x=0.49
16:30:08 | MOVE_LEFT | nose_x=0.40
16:30:09 | MOVE_LEFT | nose_x=0.40
16:30:12 | MOVE_RIGHT | nose_x=0.60
16:30:13 | MOVE_RIGHT | nose_x=0.61
16:30:14 | LOCK_LOST | Identity verification failed
16:30:14 | LOCK_ACQUIRED | sim=0.83
16:30:14 | MOVE_LEFT | nose_x=0.42
16:30:15 | MOVE_RIGHT | nose_x=0.60
16:30:16 | MOVE_RIGHT | nose_x=0.76
16:30:17 | MOVE_LEFT | nose_x=0.50
16:30:18 | MOVE_LEFT | nose_x=0.46
16:30:19 | MOVE_LEFT | nose_x=0.07
16:30:20 | MOVE_LEFT | nose_x=0.40
16:30:21 | MOVE_LEFT | nose_x=0.45
16:30:22 | MOVE_LEFT | nose_x=0.50
16:30:25 | MOVE_LEFT | nose_x=0.50
16:30:26 | MOVE_RIGHT | nose_x=0.61
16:30:27 | MOVE_RIGHT | nose_x=0.89
16:30:28 | SMILE | ratio=0.45
16:30:28 | MOVE_RIGHT | nose_x=0.81
16:30:29 | LOCK_LOST | Identity verification failed
16:30:29 | LOCK_ACQUIRED | sim=0.81
16:30:29 | MOVE_RIGHT | nose_x=0.61
16:30:29 | MOVE_LEFT | nose_x=0.50
16:30:30 | MOVE_RIGHT | nose_x=0.62
16:30:30 | BLINK | EAR=0.18
16:30:30 | MOVE_RIGHT | nose_x=0.68
16:30:31 | LOCK_LOST | Identity verification failed
16:30:31 | LOCK_ACQUIRED | sim=0.84
16:30:31 | MOVE_LEFT | nose_x=0.47
16:30:32 | MOVE_LEFT | nose_x=0.47
16:30:33 | MOVE_LEFT | nose_x=0.47
16:30:34 | BLINK | EAR=0.22
16:30:34 | MOVE_LEFT | nose_x=0.26
16:30:35 | LOCK_LOST | Identity verification failed
16:30:36 | LOCK_ACQUIRED | sim=0.68
16:30:36 | MOVE_LEFT | nose_x=0.07
16:30:37 | MOVE_LEFT | nose_x=0.37
16:30:39 | BLINK | EAR=0.19
16:30:41 | MOVE_RIGHT | nose_x=0.62
16:30:42 | LOCK_LOST | Identity verification failed
16:30:43 | LOCK_ACQUIRED | sim=0.69
16:30:43 | MOVE_RIGHT | nose_x=0.86
16:30:44 | MOVE_RIGHT | nose_x=0.77
16:30:45 | MOVE_LEFT | nose_x=0.48
16:30:46 | MOVE_LEFT | nose_x=0.45
16:30:47 | MOVE_LEFT | nose_x=0.45
16:30:48 | MOVE_LEFT | nose_x=0.43
16:30:49 | MOVE_LEFT | nose_x=0.42
16:30:50 | MOVE_LEFT | nose_x=0.16
16:30:51 | LOCK_LOST | Identity verification failed
16:30:52 | LOCK_ACQUIRED | sim=0.84
16:30:52 | MOVE_RIGHT | nose_x=0.61
16:30:53 | MOVE_RIGHT | nose_x=0.80
16:30:54 | MOVE_RIGHT | nose_x=0.61
16:30:54 | MOVE_LEFT | nose_x=0.50
16:30:54 | SMILE | ratio=0.46
16:30:54 | MOVE_LEFT | nose_x=0.48
16:30:54 | SMILE | ratio=0.45
16:30:54 | MOVE_LEFT | nose_x=0.49
16:30:55 | SMILE | ratio=0.46
16:30:55 | MOVE_LEFT | nose_x=0.39
16:30:55 | SMILE | ratio=0.46
16:30:55 | MOVE_LEFT | nose_x=0.39
16:30:55 | SMILE | ratio=0.45
16:30:55 | MOVE_LEFT | nose_x=0.39
16:30:55 | SMILE | ratio=0.45
16:30:55 | MOVE_LEFT | nose_x=0.39
16:30:55 | SMILE | ratio=0.45
16:30:55 | MOVE_LEFT | nose_x=0.39
16:30:55 | SMILE | ratio=0.46
16:30:55 | MOVE_LEFT | nose_x=0.39
16:30:55 | SMILE | ratio=0.45
16:30:55 | MOVE_LEFT | nose_x=0.39
16:30:55 | SMILE | ratio=0.46
16:30:56 | MOVE_LEFT | nose_x=0.39
16:30:56 | SMILE | ratio=0.46
16:30:56 | MOVE_LEFT | nose_x=0.39
16:30:56 | SMILE | ratio=0.47
16:30:56 | MOVE_LEFT | nose_x=0.39
16:30:56 | SMILE | ratio=0.47
16:30:56 | MOVE_LEFT | nose_x=0.38
16:30:56 | SMILE | ratio=0.46
16:30:56 | MOVE_LEFT | nose_x=0.38
16:30:56 | SMILE | ratio=0.47
16:30:56 | MOVE_LEFT | nose_x=0.37
16:30:56 | SMILE | ratio=0.47
16:30:56 | MOVE_LEFT | nose_x=0.37
16:30:56 | SMILE | ratio=0.46
16:30:56 | MOVE_LEFT | nose_x=0.32
16:30:56 | SMILE | ratio=0.45
16:30:56 | MOVE_LEFT | nose_x=0.31
16:30:56 | SMILE | ratio=0.45
16:30:56 | MOVE_LEFT | nose_x=0.26
16:30:56 | SMILE | ratio=0.46
16:30:56 | MOVE_LEFT | nose_x=0.25
16:30:56 | SMILE | ratio=0.46
16:30:56 | MOVE_LEFT | nose_x=0.23
16:30:56 | SMILE | ratio=0.47
16:30:56 | MOVE_LEFT | nose_x=0.17
16:30:56 | SMILE | ratio=0.47
16:30:56 | MOVE_LEFT | nose_x=0.14
16:30:56 | SMILE | ratio=0.47
16:30:56 | MOVE_LEFT | nose_x=0.12
16:30:56 | SMILE | ratio=0.46
16:30:56 | MOVE_LEFT | nose_x=0.10
16:30:56 | LOCK_LOST | Identity verification failed
16:30:58 | LOCK_ACQUIRED | sim=0.56
16:30:58 | MOVE_LEFT | nose_x=0.30
16:30:58 | MOVE_RIGHT | nose_x=0.63
16:30:59 | MOVE_RIGHT | nose_x=0.82
16:31:02 | MOVE_LEFT | nose_x=0.50
16:31:03 | MOVE_LEFT | nose_x=0.43
16:31:04 | MOVE_LEFT | nose_x=0.48
16:31:04 | MOVE_RIGHT | nose_x=0.63
16:31:05 | MOVE_LEFT | nose_x=0.46
16:31:05 | BLINK | EAR=0.21
16:31:05 | MOVE_LEFT | nose_x=0.47
